City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Naftalan,AZ,85.42,scattered clouds,40.5067,46.825,Gashalti Health Hotel - Naftalan
5,Saint George,US,82.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
6,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
10,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
29,Itarema,BR,83.53,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
30,Brigantine,US,75.2,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
31,Tanete,ID,75.07,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
32,Kimbe,PG,77.29,light rain,-5.5502,150.1429,Kimbe Bay Hotel
33,Ponta Do Sol,PT,83.71,clear sky,32.6667,-17.1,Hotel do Campo
34,Puerto Ayora,EC,75.16,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Semey,KZ,88.02,clear sky,50.4111,80.2275,Grand Hotel Semey
43,San Patricio,US,85.91,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
45,Alenquer,BR,82.24,overcast clouds,-1.9417,-54.7383,Detinha Hotel
46,Governador Dix-Sept Rosado,BR,89.44,scattered clouds,-5.4577,-37.5209,clovis olveira
47,Anzio,IT,86.43,few clouds,41.4853,12.6179,Hotel Lido Garda
51,Pavlohrad,UA,80.71,clear sky,48.5167,35.8667,Kompleks Stylʹ
54,Atuona,PF,77.58,scattered clouds,-9.8,-139.0333,Villa Enata
56,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
61,Vaitape,PF,78.8,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
62,Tarbes,FR,81.07,clear sky,43.25,0.1667,Quelle Vue (Gite Rural)
64,Filadelfia,US,75.22,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
65,Samarai,PG,80.4,overcast clouds,-10.6167,150.6667,Nuli Sapi
66,Hithadhoo,MV,84.4,few clouds,-0.6,73.0833,Scoop Guest House
67,Mattru,SL,87.39,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
68,Hermanus,ZA,77.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
74,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
78,Callaway,US,87.91,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
81,Cape Town,ZA,75.38,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
83,Butaritari,KI,81.9,light rain,3.0707,172.7902,Isles Sunset Lodge
85,Currais Novos,BR,84.6,scattered clouds,-6.2608,-36.5178,Sâmily Flat Hotel
86,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
93,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
96,Hami,CN,81.99,broken clouds,42.8,93.45,Laoyutang Resort
97,Cienfuegos,CU,84.34,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
103,Norsup,VU,78.76,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
105,Ambulu,ID,77.36,light rain,-8.345,113.6058,Hotel Ambulu Jember
107,Sabang,ID,80.56,overcast clouds,5.8933,95.3214,Hotel Citra
110,Mahibadhoo,MV,82.58,overcast clouds,3.7833,72.9667,Omadhoo Inn
115,Anloga,GH,82.24,overcast clouds,5.7947,0.8973,Pin Drop Hotel
117,Katobu,ID,75.45,few clouds,-4.9408,122.5276,La Ode Husein
120,San Nicolas,PH,82.45,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
124,San Cristobal,VE,79.57,broken clouds,7.7669,-72.225,Pirineos
131,Dingle,PH,77.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
134,Kilindoni,TZ,78.82,overcast clouds,-7.9139,39.6668,Bustani B&B
