City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,39.79,79,92,18.5,light rain
1,Nanortalik,GL,60.1432,-45.2371,41.22,80,51,12.08,broken clouds
2,Naftalan,AZ,40.5067,46.825,85.42,37,32,10.16,scattered clouds
3,Chuy,UY,-33.6971,-53.4616,50.0,59,5,15.84,clear sky
4,Lebu,CL,-37.6167,-73.65,48.45,62,0,11.61,clear sky
5,Saint George,US,37.1041,-113.5841,82.8,22,0,3.44,clear sky
6,Nouadhibou,MR,20.931,-17.0347,75.18,69,0,18.41,clear sky
7,Rikitea,PF,-23.1203,-134.9692,74.77,63,16,6.91,few clouds
8,Disna,BY,55.568,28.1971,79.57,54,19,2.64,few clouds
9,Burayevo,RU,55.8407,55.4083,63.9,80,100,9.26,overcast clouds
10,Padang,ID,-0.9492,100.3543,77.05,87,100,3.51,overcast clouds
11,Albany,US,42.6001,-73.9662,68.95,62,0,4.0,clear sky
12,New Norfolk,AU,-42.7826,147.0587,44.1,78,99,4.0,overcast clouds
13,East London,ZA,-33.0153,27.9116,68.94,64,0,6.91,clear sky
14,Busselton,AU,-33.65,115.3333,61.18,93,70,14.18,broken clouds
15,Ushuaia,AR,-54.8,-68.3,38.82,88,100,14.58,overcast clouds
16,Hobart,AU,-42.8794,147.3294,44.46,71,75,8.05,broken clouds
17,Vaini,TO,-21.2,-175.2,69.96,94,40,3.44,scattered clouds
18,Barra Do Bugres,BR,-15.0725,-57.1811,68.52,99,100,3.2,overcast clouds
19,Tiksi,RU,71.6872,128.8694,39.76,75,1,4.74,clear sky
20,Tuktoyaktuk,CA,69.4541,-133.0374,35.08,73,72,7.67,broken clouds
21,Jamestown,US,42.097,-79.2353,65.01,61,75,11.5,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,35.71,75,100,18.41,light rain
23,Dapaong,TG,10.8639,0.205,98.56,29,4,6.73,clear sky
24,Chokurdakh,RU,70.6333,147.9167,47.25,58,32,13.38,scattered clouds
25,San Quintin,MX,30.4833,-115.95,65.07,82,0,1.86,clear sky
26,Ialibu,PG,-6.2821,143.9935,55.72,98,89,2.3,overcast clouds
27,Avarua,CK,-21.2078,-159.775,73.45,64,75,4.61,broken clouds
28,Bredasdorp,ZA,-34.5322,20.0403,74.48,26,18,5.1,few clouds
29,Itarema,BR,-2.9248,-39.9167,83.53,69,62,13.87,broken clouds
30,Brigantine,US,39.4101,-74.3646,75.2,56,0,11.5,clear sky
31,Tanete,ID,-3.9443,119.7848,75.07,96,96,3.36,overcast clouds
32,Kimbe,PG,-5.5502,150.1429,77.29,87,54,0.45,light rain
33,Ponta Do Sol,PT,32.6667,-17.1,83.71,63,0,1.34,clear sky
34,Puerto Ayora,EC,-0.7393,-90.3518,75.16,76,0,7.52,clear sky
35,Torbay,CA,47.6666,-52.7314,59.29,92,100,1.99,light rain
36,Pihani,IN,27.6333,80.2,104.34,12,0,1.66,clear sky
37,Mataura,NZ,-46.1927,168.8643,39.47,94,29,4.92,scattered clouds
38,Nome,US,64.5011,-165.4064,48.27,57,0,9.22,clear sky
39,Lompoc,US,34.6391,-120.4579,67.59,82,0,3.44,clear sky
40,Aras,ES,42.5617,-2.356,90.01,14,0,6.91,clear sky
41,Semey,KZ,50.4111,80.2275,88.02,22,0,13.42,clear sky
42,Bethel,US,41.3712,-73.414,71.94,65,0,12.66,clear sky
43,San Patricio,US,28.017,-97.5169,85.91,64,2,10.89,clear sky
44,Krasnoarmeysk,RU,51.0239,45.6969,74.86,49,9,8.16,clear sky
