City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Leshukonskoye,RU,2022-06-06 19:51:01,64.8989,45.7622,53.38,87,92,4.34
1,Mataura,NZ,2022-06-06 19:51:02,-46.1927,168.8643,43.45,84,100,4.45
2,Batetskiy,RU,2022-06-06 19:51:02,58.6461,30.3027,47.12,65,4,4.14
3,Port Elizabeth,ZA,2022-06-06 19:51:02,-33.918,25.5701,57.49,62,0,3.44
4,Ilulissat,GL,2022-06-06 19:51:03,69.2167,-51.1,37.76,58,5,10.4
5,Busselton,AU,2022-06-06 19:51:03,-33.65,115.3333,50.85,70,0,11.79
6,Punta Arenas,CL,2022-06-06 19:50:56,-53.15,-70.9167,37.42,93,75,13.8
7,Songjianghe,CN,2022-06-06 19:51:03,42.1859,127.479,47.86,88,100,2.26
8,Bluff,NZ,2022-06-06 19:51:04,-46.6,168.3333,48.6,74,100,11.63
9,Turangi,NZ,2022-06-06 19:51:04,-39.0,175.9333,49.1,98,93,1.23
10,Hithadhoo,MV,2022-06-06 19:51:04,-0.6,73.0833,82.0,74,98,2.21
11,Andenes,NO,2022-06-06 19:51:05,69.3143,16.1194,44.58,76,75,26.46
12,Lasa,IT,2022-06-06 19:51:05,46.6166,10.7002,68.88,93,85,1.23
13,Guasdualito,VE,2022-06-06 19:51:05,7.2424,-70.7324,87.76,62,40,4.61
14,Ouadda,CF,2022-06-06 19:51:06,8.0777,22.4007,65.86,93,100,4.56
15,Ribeira Grande,PT,2022-06-06 19:51:06,38.5167,-28.7,66.6,94,75,12.66
16,Tiksi,RU,2022-06-06 19:51:06,71.6872,128.8694,38.64,94,100,3.8
17,Galle,LK,2022-06-06 19:51:06,6.0367,80.217,78.4,87,100,9.98
18,Kenai,US,2022-06-06 19:51:07,60.5544,-151.2583,55.09,85,75,11.5
19,Clyde River,CA,2022-06-06 19:51:07,70.4692,-68.5914,41.23,75,75,5.75
20,Qaanaaq,GL,2022-06-06 19:51:07,77.484,-69.3632,30.99,89,100,1.77
21,Huarmey,PE,2022-06-06 19:51:08,-10.0681,-78.1522,69.19,75,23,8.63
22,Lorengau,PG,2022-06-06 19:51:08,-2.0226,147.2712,80.6,79,100,5.68
23,New Norfolk,AU,2022-06-06 19:51:08,-42.7826,147.0587,40.91,87,18,3.98
24,Thompson,CA,2022-06-06 19:51:09,55.7435,-97.8558,64.56,25,20,11.5
25,Panhala,IN,2022-06-06 19:51:09,16.8167,74.1167,72.46,87,100,3.22
26,Kapaa,US,2022-06-06 19:51:09,22.0752,-159.319,80.47,78,20,9.22
27,Kloulklubed,PW,2022-06-06 19:51:10,7.0419,134.2556,82.63,73,100,5.28
28,Alice Springs,AU,2022-06-06 19:51:10,-23.7,133.8833,42.35,100,40,4.61
29,Vamospercs,HU,2022-06-06 19:51:10,47.5333,21.9,73.11,71,99,7.09
30,Hermanus,ZA,2022-06-06 19:51:10,-34.4187,19.2345,64.54,43,52,9.22
31,Cidreira,BR,2022-06-06 19:51:11,-30.1811,-50.2056,65.19,95,100,5.44
32,Castro,BR,2022-06-06 19:51:11,-24.7911,-50.0119,64.65,83,100,6.85
33,Albany,US,2022-06-06 19:47:58,42.6001,-73.9662,80.17,40,100,3.38
34,Kattivakkam,IN,2022-06-06 19:51:11,13.2167,80.3167,86.09,74,83,12.48
35,Hobart,AU,2022-06-06 19:51:12,-42.8794,147.3294,41.25,80,75,12.66
